StadiumTrackmanCSV : Sheet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/1/2024,29:44.9,1,1,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.69426,-2.57731,-2.0985,2466.763,203.2971,12:45,5.96762,1.448,6.14812,-10.379,20.60918,8.43351,2.71808,0.21093,86.22762,-4.61715,-0.57895,0.400654,,,,,,,,,,,,-4.97536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/1/2024,30:07.6,1,2,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.76291,-1.61571,-1.33761,2472.306,206.7476,1:00,5.92503,1.33722,6.79066,-12.0813,18.36631,8.7078,3.44268,0.84171,85.43543,-4.00864,0.25179,0.397144,,,,,,,,,,,,-4.97512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1/1/2024,30:26.1,1,3,"Marichal, Juan",4358,Right,SFG,"Ott, Mel",5300,Left,NYG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.32514,-2.57424,-1.40445,2499.401,196.0835,12:30,5.9723,1.26328,6.70125,-10.4495,19.81596,5.39548,2.7455,0.42851,85.87185,-4.66335,-0.4215,0.395954,105.933,35.62254,10.86625,2888.375,108.2526,78.16157,19.52813,396.6108,391.7408,7.696232,6.071013,-3.30599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1/1/2024,31:06.0,2,1,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.40091,-3.4649,-2.03992,2368.501,239.1896,2:00,5.91395,1.41033,6.52281,-20.3762,11.42501,17.22021,1.03116,0.97303,84.4573,-7.33197,1.090025,0.405876,,,,,,,,,,,,-9.78772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/1/2024,31:24.1,2,2,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.18469,-2.92463,-2.85801,2435.994,201.835,12:45,5.92256,1.23065,6.26576,-11.5789,19.41414,7.31591,2.25562,-0.79678,85.58687,-5.20623,-1.53811,0.400686,,,,,,,,,,,,-4.72437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1/1/2024,31:40.5,2,3,"Marichal, Juan",4358,Right,SFG,"Irvin, Monte",9208,Right,NYG,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,86.66833,-0.02425,-1.54143,2333.234,40.53154,7:15,5.96264,1.47371,5.87838,-39.2885,-1.4113,-2.39165,2.66607,-0.15746,78.16063,-7.28655,-1.97096,0.442956,103.2072,31.29653,-11.252,2604.52,108.1439,64.84127,-20.1217,399.7998,393.8561,-12.6137,5.516763,0.7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1/1/2024,32:25.8,3,1,"Marichal, Juan",4358,Right,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.21785,-3.47262,-1.29372,2457.898,212.1285,1:00,5.98825,1.27E+00,6.09956,-14.208,17.06237,9.96008,1.58787,0.90631,85.41606,-6.21955,0.50128,0.402475,,,,,,,,,,,,-5.57622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1/1/2024,32:42.0,3,2,"Marichal, Juan",4358,Right,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,1,Top,2,1,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.65009,0.499972,-0.7273,2758.121,7.633618,6:15,6.04079,1.28E+00,5.90878,-61.8289,-18.166,-2.64366,1.3525,0.38273,73.30055,-10.7989,-1.20413,0.475584,,,,,,,,,,,,1.11697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1/1/2024,33:00.9,3,3,"Marichal, Juan",4358,Right,SFG,"Youngs, Ross",2050,Left,NYG,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,96.12067,-2.19252,-2.31066,2559.773,208.8466,1:00,5.89413,1.3847,6.59621,-11.2787,18.78914,9.71697,2.9429,0.07635,86.06038,-4.43979,-0.54505,0.394659,89.2386,75.03489,0.254641,,,,,,108.3407,,,-5.88599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/1/2024,35:17.2,1,1,"Hubbell, Carl",4312,Right,NYG,"McCovey, Willie",7363,Left,SFG,Undefined,1,Bottom,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.24336,-2.98732,-4.04366,2200.043,234.123,1:45,6.08103,2.21751,5.42888,-27.5253,12.85887,15.91458,0.97997,-0.24964,77.08535,-8.06056,-1.21741,0.45738,,,,,,,,,,,,-9.32441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
